BrickLink Item,Name,BrickLink Color ID,Color,Qty,Est. unit price (USD),Est. total (USD),LDraw part,Qty Lionhold,Qty Millbrook,Qty Ravencrag Keep,Qty Warriors & Weapons,Note
2490,Animal Horse Barding,11,Black,2,1.200,2.40,2490,0,0,0,2,"Horse Barding (plain) - optional decoration, skip if not available in this colour"
2490,Animal Horse Barding,5,Red,2,1.200,2.40,2490,0,0,0,2,"Horse Barding (plain) - optional decoration, skip if not available in this colour"
4491b,Animal Horse Saddle with Two Clips,11,Black,4,0.400,1.60,4491b,0,0,0,4,
3957a,Antenna 4H with Rounded Top,11,Black,2,0.150,0.30,3957a,0,0,0,2,
3455,Arch 1 x 6,85,Dark Bluish Gray,2,0.300,0.60,3455,0,0,2,0,
3455,Arch 1 x 6,86,Light Bluish Gray,3,0.300,0.90,3455,3,0,0,0,
2489,Barrel 2 x 2 x 1.667,88,Reddish Brown,6,0.250,1.50,2489,1,3,2,0,
3811,Baseplate 32 x 32,6,Green,4,6.500,26.00,3811,1,2,1,0,
3005,Brick 1 x 1,11,Black,10,0.050,0.50,3005,0,0,10,0,
3005,Brick 1 x 1,120,Dark Brown,111,0.075,8.32,3005,0,108,3,0,
3005,Brick 1 x 1,69,Dark Tan,3,0.075,0.22,3005,0,3,0,0,
3005,Brick 1 x 1,85,Dark Bluish Gray,132,0.050,6.60,3005,10,3,119,0,
3005,Brick 1 x 1,86,Light Bluish Gray,167,0.050,8.35,3005,142,11,14,0,
3005,Brick 1 x 1,48,Sand Green,1,0.075,0.07,3005,0,0,1,0,
3005,Brick 1 x 1,2,Tan,15,0.050,0.75,3005,0,15,0,0,
3005,Brick 1 x 1,1,White,5,0.050,0.25,3005,0,5,0,0,
3062b,Brick 1 x 1 Round with Hollow Stud,85,Dark Bluish Gray,6,0.050,0.30,3062b,0,0,0,6,
3062b,Brick 1 x 1 Round with Hollow Stud,86,Light Bluish Gray,4,0.050,0.20,3062b,0,0,0,4,
3062b,Brick 1 x 1 Round with Hollow Stud,88,Reddish Brown,80,0.050,4.00,3062b,27,44,9,0,
6111,Brick 1 x 10,88,Reddish Brown,1,0.250,0.25,6111,0,1,0,0,
3004,Brick 1 x 2,11,Black,40,0.050,2.00,3004,0,2,38,0,
3004,Brick 1 x 2,120,Dark Brown,7,0.075,0.53,3004,0,0,7,0,
3004,Brick 1 x 2,69,Dark Tan,4,0.075,0.30,3004,0,4,0,0,
3004,Brick 1 x 2,85,Dark Bluish Gray,252,0.050,12.60,3004,35,13,204,0,
3004,Brick 1 x 2,86,Light Bluish Gray,307,0.050,15.35,3004,276,13,18,0,
3004,Brick 1 x 2,88,Reddish Brown,6,0.050,0.30,3004,2,0,4,0,
3004,Brick 1 x 2,48,Sand Green,11,0.075,0.82,3004,0,0,11,0,
3004,Brick 1 x 2,2,Tan,36,0.050,1.80,3004,0,36,0,0,
3004,Brick 1 x 2,1,White,58,0.050,2.90,3004,0,58,0,0,
30136,Brick 1 x 2 Log,120,Dark Brown,1,0.120,0.12,30136,0,1,0,0,
30136,Brick 1 x 2 Log,88,Reddish Brown,18,0.080,1.44,30136,0,18,0,0,
98283,Brick 1 x 2 with Embossed Bricks,69,Dark Tan,7,0.150,1.05,98283,0,7,0,0,
98283,Brick 1 x 2 with Embossed Bricks,85,Dark Bluish Gray,122,0.100,12.20,98283,23,6,93,0,
98283,Brick 1 x 2 with Embossed Bricks,86,Light Bluish Gray,138,0.100,13.80,98283,109,17,12,0,
98283,Brick 1 x 2 with Embossed Bricks,2,Tan,5,0.100,0.50,98283,0,5,0,0,
3622,Brick 1 x 3,11,Black,3,0.070,0.21,3622,0,1,2,0,
3622,Brick 1 x 3,120,Dark Brown,12,0.105,1.26,3622,0,12,0,0,
3622,Brick 1 x 3,69,Dark Tan,4,0.105,0.42,3622,0,4,0,0,
3622,Brick 1 x 3,85,Dark Bluish Gray,31,0.070,2.17,3622,5,4,22,0,
3622,Brick 1 x 3,86,Light Bluish Gray,34,0.070,2.38,3622,27,6,1,0,
3622,Brick 1 x 3,2,Tan,9,0.070,0.63,3622,0,9,0,0,
3622,Brick 1 x 3,1,White,1,0.070,0.07,3622,0,1,0,0,
3010,Brick 1 x 4,11,Black,32,0.080,2.56,3010,0,4,28,0,
3010,Brick 1 x 4,120,Dark Brown,1,0.120,0.12,3010,0,0,1,0,
3010,Brick 1 x 4,69,Dark Tan,4,0.120,0.48,3010,0,4,0,0,
3010,Brick 1 x 4,85,Dark Bluish Gray,226,0.080,18.08,3010,33,19,174,0,
3010,Brick 1 x 4,86,Light Bluish Gray,286,0.080,22.88,3010,253,25,8,0,
3010,Brick 1 x 4,88,Reddish Brown,11,0.080,0.88,3010,6,2,1,2,
3010,Brick 1 x 4,48,Sand Green,11,0.120,1.32,3010,0,0,11,0,
3010,Brick 1 x 4,2,Tan,17,0.080,1.36,3010,0,17,0,0,
3010,Brick 1 x 4,1,White,9,0.080,0.72,3010,0,9,0,0,
30137,Brick 1 x 4 Log,120,Dark Brown,1,0.225,0.23,30137,0,1,0,0,
30137,Brick 1 x 4 Log,88,Reddish Brown,21,0.150,3.15,30137,0,21,0,0,
3009,Brick 1 x 6,11,Black,3,0.120,0.36,3009,0,0,3,0,
3009,Brick 1 x 6,69,Dark Tan,1,0.180,0.18,3009,0,1,0,0,
3009,Brick 1 x 6,85,Dark Bluish Gray,30,0.120,3.60,3009,4,2,24,0,
3009,Brick 1 x 6,86,Light Bluish Gray,27,0.120,3.24,3009,21,4,2,0,
3009,Brick 1 x 6,88,Reddish Brown,8,0.120,0.96,3009,2,0,2,4,
3009,Brick 1 x 6,48,Sand Green,1,0.180,0.18,3009,0,0,1,0,
3003,Brick 2 x 2,88,Reddish Brown,2,0.080,0.16,3003,0,1,1,0,
3003,Brick 2 x 2,2,Tan,3,0.080,0.24,3003,1,2,0,0,
3941,Brick 2 x 2 Round without Reinforcement,85,Dark Bluish Gray,6,0.120,0.72,3941,0,0,6,0,
3002,Brick 2 x 3,85,Dark Bluish Gray,1,0.100,0.10,3002,0,1,0,0,
3001,Brick 2 x 4,85,Dark Bluish Gray,1,0.120,0.12,3001,0,0,1,0,
4589,Cone 1 x 1,115,Pearl Gold,12,0.075,0.90,4589,6,0,6,0,
60596,Door 1 x 4 x 6 Frame,11,Black,2,0.350,0.70,60596,0,0,2,0,
60596,Door 1 x 4 x 6 Frame,120,Dark Brown,2,0.525,1.05,60596,0,2,0,0,
60596,Door 1 x 4 x 6 Frame,88,Reddish Brown,1,0.350,0.35,60596,0,1,0,0,
60616a,Door 1 x 4 x 6 Smooth with Square Handle Plinth,120,Dark Brown,3,0.525,1.58,60616a,0,2,1,0,
60616a,Door 1 x 4 x 6 Smooth with Square Handle Plinth,88,Reddish Brown,2,0.350,0.70,60616a,0,1,1,0,
30055,Fence Spindled 1 x 4 x 2,11,Black,4,0.300,1.20,30055,2,0,2,0,
30055,Fence Spindled 1 x 4 x 2,88,Reddish Brown,4,0.300,1.20,30055,0,4,0,0,
2335,Flag 2 x 2,11,Black,1,0.150,0.15,2335,0,0,0,1,
2335,Flag 2 x 2,63,Dark Blue,1,0.225,0.23,2335,0,0,0,1,
2335,Flag 2 x 2,5,Red,1,0.150,0.15,2335,0,0,0,1,
2335,Flag 2 x 2,3,Yellow,1,0.150,0.15,2335,0,0,0,1,
4495b,Flag 4 x 1 with First Wave Right,63,Dark Blue,6,0.675,4.05,4495b,0,0,6,0,"Flag 4 x 1 Wave Right - if not found search ""Flag 4 x 1 Wave"""
4495b,Flag 4 x 1 with First Wave Right,5,Red,4,0.450,1.80,4495b,4,0,0,0,"Flag 4 x 1 Wave Right - if not found search ""Flag 4 x 1 Wave"""
4495b,Flag 4 x 1 with First Wave Right,3,Yellow,2,0.450,0.90,4495b,2,0,0,0,"Flag 4 x 1 Wave Right - if not found search ""Flag 4 x 1 Wave"""
60601,Glass for Window 1 x 2 x 2 without Sill,12,Trans-Clear,17,0.104,1.77,60601,0,15,2,0,
4493c01,Horse with 2 x 2 Cutout (Movable Legs),11,Black,2,4.500,9.00,4493c00,0,0,0,2,
4493c01,Horse with 2 x 2 Cutout (Movable Legs),1,White,2,4.500,9.00,4493c00,0,0,0,2,
2587,Minifig Armour Plate,11,Black,4,0.400,1.60,2587,0,0,0,4,
2587,Minifig Armour Plate,95,Flat Silver,3,0.600,1.80,2587,0,0,0,3,
2587,Minifig Armour Plate,86,Light Bluish Gray,1,0.400,0.40,2587,0,0,0,1,Flat Silver also works
3848,Minifig Battleaxe,95,Flat Silver,1,0.450,0.45,3848,0,0,0,1,
4499,Minifig Bow with Arrow,88,Reddish Brown,1,0.250,0.25,4499,0,0,0,1,
4524,Minifig Cape,11,Black,2,0.600,1.20,4524,0,0,0,2,Minifig Cape (plastic) - any cape works (cloth cape 522 is a fine substitute)
2570,Minifig Crossbow,11,Black,1,0.300,0.30,2570,0,0,0,1,
3899,Minifig Cup,1,White,3,0.080,0.24,3899,0,2,0,1,
33051,Minifig Food Apple,34,Lime,1,0.150,0.15,33051,0,1,0,0,
33051,Minifig Food Apple,5,Red,3,0.100,0.30,33051,0,2,0,1,
33172,Minifig Food Carrot,4,Orange,1,0.150,0.15,33172,0,1,0,0,
33183,Minifig Food Carrot Top,36,Bright Green,8,0.120,0.96,33183,0,8,0,0,
2343,Minifig Goblet,115,Pearl Gold,2,0.225,0.45,2343,0,1,0,1,
